"player","eventType","outcome","x","y","endX","endY","isTouch","isProgPass"
"Willian Arão","BallTouch","Successful",83,10.3,NA,NA,TRUE,NA
"Willian Arão","Interception","Successful",57,89.3,NA,NA,TRUE,NA
"Willian Arão","Save","Successful",27.6,47.3,NA,NA,TRUE,NA
"Willian Arão","Clearance","Successful",46.2,50.3,44.9,48.4,TRUE,NA
"Willian Arão","Interception","Successful",57.8,65.7,NA,NA,TRUE,NA
"Willian Arão","Interception","Successful",32,14.7,NA,NA,TRUE,NA
"Willian Arão","BallTouch","Successful",44.4,75.6,NA,NA,TRUE,NA
"Willian Arão","BallTouch","Successful",36.8,81.1,NA,NA,TRUE,NA
"Willian Arão","Interception","Successful",36.9,43.3,NA,NA,TRUE,NA
"Willian Arão","SavedShot","Successful",89.4,56.3,NA,NA,TRUE,NA
"Willian Arão","Tackle","Successful",54,64.8,NA,NA,TRUE,NA
"Willian Arão","Clearance","Successful",4.5,32.4,0,25,TRUE,NA
"Willian Arão","Interception","Successful",54,12.6,NA,NA,TRUE,NA
"Willian Arão","Dispossessed","Successful",18.7,6,NA,NA,TRUE,NA
"Willian Arão","MissedShots","Successful",74.9,43.3,NA,NA,TRUE,NA
"Willian Arão","BallTouch","Unsuccessful",65.6,12.8,NA,NA,TRUE,NA
"Willian Arão","Tackle","Successful",5.1,90.8,NA,NA,TRUE,NA
"Willian Arão","Tackle","Unsuccessful",22.6,26.6,NA,NA,TRUE,NA
"Willian Arão","SavedShot","Successful",89.3,60.6,NA,NA,TRUE,NA
"Willian Arão","Interception","Successful",67.6,3.2,NA,NA,TRUE,NA
"Willian Arão","Dispossessed","Successful",61.9,90.6,NA,NA,TRUE,NA
"Willian Arão","BallTouch","Successful",26.2,69.6,NA,NA,TRUE,NA
"Willian Arão","Interception","Successful",66.8,12.3,NA,NA,TRUE,NA
"Willian Arão","Tackle","Successful",59.6,63.2,NA,NA,TRUE,NA
"Willian Arão","MissedShots","Successful",71.9,49.9,NA,NA,TRUE,NA
"Willian Arão","BallTouch","Successful",46.5,65.4,NA,NA,TRUE,NA
"Willian Arão","Interception","Successful",47,78.7,NA,NA,TRUE,NA
"Willian Arão","BlockedPass","Successful",71.5,12.3,NA,NA,TRUE,NA
"Willian Arão","BallTouch","Unsuccessful",62.4,64,NA,NA,TRUE,NA
"Willian Arão","TakeOn","Unsuccessful",87.6,24.2,NA,NA,TRUE,NA
"Willian Arão","Interception","Successful",27.6,74.2,NA,NA,TRUE,NA
"Willian Arão","BallTouch","Successful",47,49.6,NA,NA,TRUE,NA
"Willian Arão","SavedShot","Successful",92,43.9,NA,NA,TRUE,NA
"Willian Arão","Interception","Successful",69.4,32.5,NA,NA,TRUE,NA
"Willian Arão","Save","Successful",11.9,57.6,NA,NA,TRUE,NA
"Willian Arão","BallTouch","Successful",74.3,13.7,NA,NA,TRUE,NA
"Willian Arão","SavedShot","Successful",86,40.8,NA,NA,TRUE,NA
"Willian Arão","SavedShot","Successful",92.6,51,NA,NA,TRUE,NA
"Willian Arão","Clearance","Successful",10.1,55.3,19.2,100,TRUE,NA
"Willian Arão","Tackle","Successful",60.5,7.4,NA,NA,TRUE,NA
"Willian Arão","Interception","Successful",9.4,44.5,NA,NA,TRUE,NA
"Willian Arão","Interception","Successful",28.5,40.4,NA,NA,TRUE,NA
"Willian Arão","Clearance","Successful",15.5,72,0,69.3,TRUE,NA
"Willian Arão","Tackle","Unsuccessful",71.2,22.9,NA,NA,TRUE,NA
"Willian Arão","Clearance","Successful",9,35.1,4.5,0,TRUE,NA
"Willian Arão","Tackle","Successful",75.5,6,NA,NA,TRUE,NA
"Willian Arão","Dispossessed","Successful",48,70.3,NA,NA,TRUE,NA
"Willian Arão","Foul","Successful",57.5,30.8,NA,NA,TRUE,NA
"Willian Arão","MissedShots","Successful",90.9,47.4,NA,NA,TRUE,NA
"Willian Arão","BallTouch","Successful",42.7,75.2,NA,NA,TRUE,NA
"Willian Arão","MissedShots","Successful",79.3,31.8,NA,NA,TRUE,NA
"Willian Arão","Tackle","Unsuccessful",49,56.5,NA,NA,TRUE,NA
"Willian Arão","Tackle","Successful",30.9,61.2,NA,NA,TRUE,NA
"Willian Arão","Foul","Successful",28.6,41.5,NA,NA,TRUE,NA
"Willian Arão","Clearance","Successful",3.9,57.9,0,69.3,TRUE,NA
"Willian Arão","Interception","Successful",15,70.6,NA,NA,TRUE,NA
"Willian Arão","Clearance","Successful",12,40.3,24.7,42.9,TRUE,NA
"Willian Arão","BallTouch","Successful",59.1,30,NA,NA,TRUE,NA
"Willian Arão","BallTouch","Successful",58.1,76.7,NA,NA,TRUE,NA
"Willian Arão","TakeOn","Successful",36.8,13.9,NA,NA,TRUE,NA
"Willian Arão","Interception","Successful",65.9,87.2,NA,NA,TRUE,NA
"Willian Arão","Interception","Successful",29.2,53.2,NA,NA,TRUE,NA
"Willian Arão","Clearance","Successful",10.1,51.2,10.1,23.9,TRUE,NA
"Willian Arão","BlockedPass","Successful",64.2,5.4,NA,NA,TRUE,NA
"Willian Arão","BallTouch","Successful",54.4,71,NA,NA,TRUE,NA
"Willian Arão","Clearance","Successful",20,25.3,11.8,0,TRUE,NA
"Willian Arão","Tackle","Successful",24.7,95.1,NA,NA,TRUE,NA
"Willian Arão","BallTouch","Unsuccessful",54,12.4,NA,NA,TRUE,NA
"Willian Arão","Clearance","Successful",6.6,43.9,27.1,31.1,TRUE,NA
"Willian Arão","Interception","Successful",15.2,69.8,NA,NA,TRUE,NA
"Willian Arão","Clearance","Successful",10.8,64.8,24.8,60.3,TRUE,NA
"Willian Arão","Interception","Successful",22.7,63.7,NA,NA,TRUE,NA
"Willian Arão","BallTouch","Successful",21.8,52.2,NA,NA,TRUE,NA
"Willian Arão","Interception","Successful",43.7,9.5,NA,NA,TRUE,NA
"Willian Arão","BallTouch","Unsuccessful",60,14.9,NA,NA,TRUE,NA
"Willian Arão","Interception","Successful",39.2,68.8,NA,NA,TRUE,NA
"Willian Arão","Tackle","Successful",1.9,25,NA,NA,TRUE,NA
"Willian Arão","Tackle","Successful",45.9,1.2,NA,NA,TRUE,NA
"Willian Arão","Tackle","Successful",54.5,54.8,NA,NA,TRUE,NA
"Willian Arão","Dispossessed","Successful",33.8,71.4,NA,NA,TRUE,NA
"Willian Arão","BallTouch","Successful",43.8,34.2,NA,NA,TRUE,NA
"Willian Arão","Dispossessed","Successful",41.3,37.4,NA,NA,TRUE,NA
"Willian Arão","Tackle","Successful",71.9,22.6,NA,NA,TRUE,NA
"Willian Arão","Tackle","Successful",64.9,67,NA,NA,TRUE,NA
"Willian Arão","Pass","Successful",38.2,40.3,53.1,25.8,TRUE,0
"Willian Arão","Pass","Unsuccessful",36.2,15.6,46.6,32.4,TRUE,0
"Willian Arão","Pass","Successful",32.3,43.9,43.8,30,TRUE,0
"Willian Arão","Pass","Successful",36.4,29.2,57.4,21.5,TRUE,1
"Willian Arão","Pass","Unsuccessful",64.9,59,90.1,23.7,TRUE,1
"Willian Arão","Pass","Successful",73.7,52.5,84.5,82.1,TRUE,0
"Willian Arão","Pass","Unsuccessful",31.9,56,39.4,100,TRUE,0
"Willian Arão","Pass","Successful",34.5,77.3,30.5,85.4,TRUE,0
"Willian Arão","Pass","Successful",30.3,66.7,23.6,52.4,TRUE,0
"Willian Arão","Pass","Successful",32.9,53.6,53.8,72.6,TRUE,1
